Name	Set	ImageFile	SetID	Type	Subtype/Race	Cost	T.Cost	ATK	DEF	Attribute	Rarity	Script	Cardtext
Aesop, the Prince's Tutor	CMF	CMF-001	CMF-001	Resonator	Human	{w}{1}	2	500	500	Light	U		[Continuous] Each Fairy Tale you control cannot be targeted by spells or abilities your opponent controls.
Blinded Prince	CMF	CMF-002	CMF-002	Resonator	Fairy Tale/Human/Prince	{w}{1}	2	800	800	Light	C		[Continuous] This card cannot attack or block. [Activate] Pay {0}: This card loses all abilities until end of turn. You cannot play this ability if you don't control "Rapunzel, the Long-Haired Princess".
Clothes Tailor	CMF	CMF-003	CMF-003	Resonator	Fairy Tale/Human	{w}	1	300	300	Light	C		[Activate] [Rest] Move target [Addition: Resonator] you control onto another resonator
Dream of Juliet	CMF	CMF-004	CMF-004	Spell:Chant-Instant		{w}{1}	2			Light	C		Choose one. If you control "Juliet, the Hope" and "Romeo, the Despair", choose up to three instead - Destroy target addition: or draw a card; or remove target resonator from the game, then put it into its owner's field.
Grimm, the Fairy Tale Prince	CMF	CMF-005-r	CMF-005	Ruler	Human			0	0	Light	R		[Continuous] You may pay the attribute cost of Fairy Tale resonators with will of any attribute. [Activate] Pay {1}, discard a Fairy Tale resonator: Search your main deck for a Fairy Tale resonator, reveal it and put it into your hand. Then shuffle your main deck. This ability can be played only once per turn.
Holy Grail	CMF	CMF-006	CMF-006	Addition:Field		{w}	1			Light	C		[Enter] Destroy target addition. [Activate] [Rest] Remove all damage that was dealt to target J-Ruler this turn.
Jeweled Branch of Horai	CMF	CMF-007	CMF-007	Addition:Field		{w}{1}	2			Light	U		[Activate] Pay {w}, [Rest] Rest up to two target fire or dark resonators.
Juliet, the Hope	CMF	CMF-008	CMF-008	Resonator	Fairy Tale/Human	{w}{1}	2	200	600	Light	SR		[Continuous] This card cannot be destroyed as long as you control "Romeo, the Despair". [Continuous] As long as you control "Romeo, the Despair", each Nightmare resonator loses Nightmare and gains Fairy Tale.
King's Servant	CMF	CMF-009	CMF-009	Resonator	Fairy Tale/Human	{w}{1}	2	400	400	Light	C		[Enter] Put target [Addition:Resonator] from your graveyard into your hand.
Knight of Loyalty	CMF	CMF-010	CMF-010	Resonator	Human/Knight	{w}{w}{1}	3	700	700	Light	C		[Activate] Banish a card: target light J/resonator you control cannot be targeted by spells or abilites until end of turn.
Light of Hope	CMF	CMF-011	CMF-011	Spell:Chant-Standby		{w}{1}	2			Light	C		[Trigger] Your life is 2000 or lower: Put target attacking resonator on top of its owner's main deck. Resonators cannot attack until end of turn.
Light Palace, the King's Castle	CMF	CMF-012	CMF-012	Addition:Field		{w}{1}	2			Light	R		[Continuous] Each Human you control gains [+200/+200]. [Activate] Pay {w}, banish this card: Destroy target addition. [Activate] Pay {w}, banish this card: Destroy target addition.
Pandora, Girl of the Box  | Pandora of Light	CMF	CMF-013-r,CMF-013-j	CMF-013	Ruler	Human			0 | 400	0 | 800	Void	R		[J-Activate] Pay {w}{d}{3}. | [Enter] Destroy all resonators.
Rapunzel, the Long-Haired Princess	CMF	CMF-014	CMF-014	Resonator	Fairy Tale/Human	{w}{w}{1}	3	600	600	Light	SR		[Continuous] This card doesn't recover during the recovery phase. [Activate] Rest a recovered resonator you control other than "Rapunzel, the Long-Haired Princess": Recover this card. [Activate] Rest a recovered resonator you control other than "Rapunzel, the Long-Haired Princess": Recover this card.
Return to Stories	CMF	CMF-015	CMF-015	Spell:Chant-Instant		{w}{1}	2			Light	U		Remove target Nightmare of Fairy Tale resonator from the game.
Silver Stake	CMF	CMF-016	CMF-016	Addition:Resonator		{w}	1			Light	C		[Continuous] Resonator with this cannot attack or block if it's a Vampire. Otherwise, it gains [+400/+400], it cannot be targeted by Vampire spells or Vampire card's abilities and prevent any damage it would be dealt by Vampires. [Activate] Pay {w}: Return this card to its owner's hand.
Tell a Fairy Tale	CMF	CMF-017	CMF-017	Spell:Chant		{w}{2}	3			Light	R		Search your main deck for a Fairy Tale resonator, reveal it and put it into your hand. If your Ruler is "Grimm, the Fairy Tale Prince", you may put it into your field instead. This triggers its [Enter] ability. Then shuffle your main deck.
The Emperor with New Clothes	CMF	CMF-018	CMF-018	Resonator	Fairy Tale/Human	{w}{2}	3	700	700	Light	U		[Enter] Destroy all [Addition:Resonator] your opponent controls. [Continuous] Opponents canno add [Addition:Resonator].
Tinker Bell, the Spirit	CMF	CMF-019	CMF-019	Resonator	Fairy Tale/Spirit	{w}	1	0	0	Light	R		[Continuous] This card gains [+200/+200] for each Fairy Tale you control
Basket of Little Red	CMF	CMF-020	CMF-020	Addition:Resonator		{r}{r}	2			Fire	C		[Continuous] Resonator with this gains " [Activate] [Rest] Search your main deck for a card with "Apple" in its name, reveal it and put into your hand. Then shuffle your main deck".[Activate] Pay {r}: Return this card to its owner's hand.
Bloody Moon	CMF	CMF-021	CMF-021	Addition:Field		{r}{2}	3			Fire	R		[Continuous] Each Werewolf you control gains [+200/+200]. [Activate] Banish this card: Destroy target special magic stone.
Clockwork Apple Bomb	CMF	CMF-022	CMF-022	Spell:Chant-Standby		{r}{2}	3			Fire	C		[Trigger] If your Ruler is "Snow White" or your J-Ruler is "Bloody Snow White": Destroy blocking resonator and blocked resonator. This card deals 500 damage to each controller of those resonators.
Commander of Wolves	CMF	CMF-023	CMF-023	Resonator	Nightmare/Werewolf	{r}{3}	4	900	500	Fire	R		[Enter] This card deals 400 damage to target resonator for each Werewolf you control.
Gilles de Rais, the Golden Dragon	CMF	CMF-024	CMF-024	Resonator	Fantasy/Dragon	{r}{r}{4}	6	800	1200	Fire	SR		[[Flying]]. [Swiftness] (This card can attack and activate its Rest ability in a turn it comes into a field.) [Continuous] This card gains [+200/+0] for each of your fire magic stone. [Continuous] When this card is destroyed, you may banish three of your fire magic stones. If you do, put this card from its owner's graveyard into its owner's field.
Granny by the Fireplace	CMF	CMF-025	CMF-025	Resonator	Fairy Tale/Human	{r}{2}	3	100	1200	Fire	C		[Continuous] Whenever a Werewolf comes into a field: swap ATK and DEF of this card until end of turn.
Hunter in Black Forest	CMF	CMF-026	CMF-026	Resonator	Fairy Tale/Human	{r}	1	300	300	Fire	C		[Swiftness] (This card can attack and activate its Rest ability in a turn it comes into a field.)
Little Red Riding Hood | Little Red, the Wolf Girl	CMF	CMF-027-r,CMF-027-j	CMF-027	Ruler	Little Girl			0 | 1200	0 | 200	Fire	R		[J-Activate] Pay {0}: You cannot play this ability if you haven't put any Moon into a field this turn. | [Swiftness] (This card can attack and activate its Rest ability in a turn it comes into a field.) [Enter] This card deals 800 damage to target resonator. [Continuous] At end of turn, return this card to is Ruler side.
Loup-Garou, the New Moon	CMF	CMF-028	CMF-028	Resonator	Nightmare/Werewolf	{r}{r}{r}	3	700	700	Fire	SR		[Continuous] Each Werewolf you control gains [Swiftness]. [Continuous] Whenever a Werewolf you control attacks, this card deals 100 damage to an opponent. If you control a Moon, this card deals 200 damage instead.
Moon Night Pouncer	CMF	CMF-029	CMF-029	Resonator	Nightmare/Werewolf	{r}{1}	2	500	500	Fire	U		[Continuous] Whenever you play a normal spell, this card gains [First Strike] and [Swiftness] until end of turn.
Murderous Snowman	CMF	CMF-030	CMF-030	Resonator	Nightmare/Snow	{r}{1}	2	900	900	Fire	C		[Enter] Banish one magic stone you control
Poison Apple	CMF	CMF-031	CMF-031	Spell:Chant-Instant		{r}{1}	2			Fire	C		Target resonator you control gains [+1000/+0] until end of turn. At the end of turn, destroy that resonator.
Purifying Fire	CMF	CMF-032	CMF-032	Spell:Chant		{r}{1}	2			Fire	U		Choose one. If your Ruler is "Nameless Girl" or your J-Ruler is "Jeanne d'Arc, the Flame of Hatred", choose up to two instead - This card deals 700 damage to target player, or this card deals 1000 damage to target Human
Red Hot Iron Shoes	CMF	CMF-033	CMF-033	Addition:Resonator		{r}{1}	2			Fire	C		[Continuous] Whenever resonator with this becomes rested, this card deals 500 damage to that resonator's controller.
Robe of Fire-Rat	CMF	CMF-034	CMF-034	Addition:Field		{r}{1}	2			Fire	U		[Activate] [Rest] Prevent all damage from target fire resonator until end of turn.
