Name	Set	ImageFile	SetID	Type	Subtype/Race	Cost	T.Cost	ATK	DEF	Attribute	Rarity	Cardtext
Valkyrie, the Weaver of Destiny	PR	PR03	PR03	Resonator	Angel	{w}{w}{2}	4	800	600	Light	PR	[Target Attack]|[Continuous] Whenever a resonator is destroyed by the battle damage from this card, you gain gain 500 life.
Chimeria, the Blazing Composite Beast	PR	PR04	PR04	Resonator	Beast	{r}{r}{2}	4	*	*	Fire	PR	[Enter] You may banish any number of resonators in your field. If you banish five or more resonators in this way, this card gains [Pierce] until end of turn and it can attack in the turn it's summoned|[Continuous] ATK and DEF of the card is equal to the number of resonators banished by the [enter] ability by 200
Wrath of Sea Dragon God	PR	PR05	PR05	Spell	Chant	{u}{3}	4			Water	PR	Destroy all cards in your opponent's chant-standby area. Player cannot chase this spell by cards in a chant-standby area.
Guardian of the Treasure Tree,Asdrag	PR	PR06	PR06	Resonator	Dragon	{g}{g}{2}	4	800	800	Wind	PR	[Continuous] Whenever this card blocks an attack against [Race: Treeman] or [Race: DivineTree] it gains [+400 / +400] until end of turn.|[Continuous] At the end of turn, recover this, if you have [Race: DivineTree] card in your field.
Black Sabbath, the Ebony Shell	PR	PR07	PR07	Resonator	Demon	{b}{2}	3	800	800	Dark	PR	[Continuous] This card cannot attack player.
Flamemane	PR	PR08	PR08	Resonator	Lion	{r}{r}{3}	5	1000	800	Fire	PR	[Continuous] Resonators with total cost three or less cannot attack or block this card. Players cannot choose this card as a target for an ability of a resonator with total cost three or less.|[Continuous] This card cannot attack or block resonators with total cost three or less.
Trading Gold	PR	PR14	PR14	Spell	Chant	{w}{w}	2			Light	PR	[Continuous] Whenever this card blocks an attack against [Race: Treeman] or [Race: Divine Tree], it gains [+400 / +400] until end of turn.|[Continuous] At the end of turn, recover this if you have [Race: Divine Tree] card in your field.
Volcanic Djinn	PR	PR15	PR15	Resonator	Evil Spirit	{r}{r}{3}	5	1000	600	Fire	PR	[Continuous] As long your life is 1000 or less, all damagedealt by <Activate> abilities deals that much [+200 damage instead.|[Activate] Banish a recovered card in your magic stone area : This card deals 300 damage to target resonator
Chilling Ice Blade	PR	PR16	PR16	Spell	Chant-Instant	{u}{1}	2			Water	PR	As a cost to play this card, banish any number of cards in your lifebreak area. You may rest X resonators in any fields X is equal to the number of bannished cards to play this card.
Evil Emperor Tree of Soul Draining	PR	PR17	PR17	Resonator	Divine Tree	{g}{g}{g}{2}	5	400	800	Wind	PR	[Target Attack]|[Continuous] When this card destroys a resonator by its battle damage, add the resonator card onto this card as an [Addition: Resonator] with no text.|[Continuous] This card gains [+300 / +0] for each addition card on it.
Black Oath	PR	PR18	PR18	Spell	Chant-Standby	{b}{b}	2			Dark	PR	[Break] Put this card into your chant / standby area face up.|[Trigger] During your main phase, pay 1000life : Put a resonator card in a graveyard into your field. If you play this card while this is face up in your chant-standby area, you may pay 700 insteadof 1000.
Force of Will	PR	PR19	PR19	Magic Stone							PR	[Activate] {Rest}: Produce {1}. This will is not treated as a specific Attribute.
Swordsman of Alfr	PR	PR25	PR25	Resonator	Elf	{g}{2}	3	600	400	Wind	PR	[Break] Put this card into your hand.|[Continuous] When this card attacks, draw a card from your main deck.
Dancer of Alfr	PR	PR26	PR26	Resonator	Elf	{g}{g}{g}	3	0	500	Wind	PR	[Continuous] This card cannot be attacked|[Continuous] Void cost for [Race: Elf] resonator you play become 0
Delphinius, the Knight of the Sun	PR	PR29	PR29	Resonator	Knight	{w}{w}{2}	4	900	900	Light	PR	
Ushuah, the Flame Samurai Swordman	PR	PR30	PR30	Resonator	Samurai	{r}{r}{2}	4	1100	700	Fire	PR	
Royal Palace Guardian Mage, Freya	PR	PR31	PR31	Resonator	Wizard	{u}{u}{2}	4	700	1100	Water	PR	
Deep Green Magician, Liz	PR	PR32	PR32	Resonator	Elf	{g}{g}{2}	4	400	1400	Wind	PR	
Zain, the Warrior of Condemnation	PR	PR33	PR33	Resonator	Warrior	{b}{b}{2}	4	1300	500	Dark	PR	
Flame Lance	PR2014	PR2014-001	PR2014-001	Spell	Chant-Instant	{r}{1}	2			Fire	R	[Break] This card deals 500 damage to target resonator or player.|This card deals 500 damage to target resonator or player.
Orpheus, the Nether Player	PR2014	PR2014-002	PR2014-002	Resonator	Deity	{b}{3}	4	600	200	Darkness	R	[Activate] Remove a resonator in your graveyard : Put this card from your graveyard into your field rested. This ability can be activated only once in each of your turn.
Warlord of Exploding	PR2014	PR2014-003-r,PR2014-003-j	PR2014-003	Ruler	Samurai | Spirit			0 | 1200	0 | 800	Fire		[J-Activate] Pay {r}{r}{r}{2}|[Continuous] if your spell or ability would deals damage, it deals that much [+100] damage instead|[Activate] {Rest}: This card deals 300 damage to target resonator. | [Enter] This card deals 1000 damage to target two resonators.| {Rest}: This card deals 300 damage to target resonator.
Elvish Priest	PR2014	PR2014-004	PR2014-004	Resonator	Elf	{g}	1	100	400	Wind	C	[Activate] {Rest} : Produce {g}.
Suicidal Troop of Asakna	PR2014	PR2014-005	PR2014-005	Resonator	Samurai	{r}	1	200	200	Fire	C	[Break] This card deals 400 damage to target resonator.|[Activate] Banish this card : This card deals 400 damage to target resonator or player.
