Name	Set	ImageFile	SetID	Type	Subtype/Race	Cost	T.Cost	ATK	DEF	Attribute	Rarity	Cardtext
Magic Stone of Black Silence (CMF)	CMF	CMF-096	CMF-096	Special Magic Stone							SS	[Continuous] Treat this card as wind magic stone and dark magic stone. [Activate] [Rest] Produce {g} or {b}.
Magic Stone of Deep Wood (CMF)	CMF	CMF-097	CMF-097	Special Magic Stone							SS	[Continuous] Treat this card as wind magic stone and water magic stone. [Activate] [Rest] Produce {g} or {u}.
Magic Stone of Hearth's Core (CMF)	CMF	CMF-098	CMF-098	Special Magic Stone							SS	[Continuous] Treat this card as fire magic stone and water magic stone. [Activate] [Rest] Produce {r} or {u}.
Magic Stone of Heat Ray (CMF)	CMF	CMF-099	CMF-099	Special Magic Stone							SS	[Continuous] Treat this card as light magic stone and fire magic stone. [Activate] [Rest] Produce {w} or {r}.
Magic Stone of Heaven's Rift (CMF)	CMF	CMF-100	CMF-100	Special Magic Stone							SS	[Continuous] Treat this card as light magic stone and dark magic stone. [Activate] [Rest] Produce {w} or {b}.
Magic Stone of Darkness (CMF)	CMF	CMF-101	CMF-101	Magic Stone							S	[Activate] [Rest] Produce {b}.
Magic Stone of Flame  (CMF)	CMF	CMF-102	CMF-102	Magic Stone							S	[Activate] [Rest] Produce {r}.
Magic Stone of Light (CMF)	CMF	CMF-103	CMF-103	Magic Stone							S	[Activate] [Rest] Produce {w}.
Magic Stone of Water (CMF)	CMF	CMF-104	CMF-104	Magic Stone							S	[Activate] [Rest] Produce {u}.
Magic Stone of Wind (CMF)	CMF	CMF-105	CMF-105	Magic Stone							S	[Activate] [Rest] Produce {g}.
Almerius, the Levitating Stone	TAT	TAT-091	TAT-091	Special Magic Stone/True Magic Stone							SS	[Activate] [Rest] Produce {w}. [Activate] {w}[Rest] Target J/resonator gains [Flying] until end of turn. [Continuous] When you control two or more true magic stones with the same name, banish all but one of them.
Feethsing, the Holy Wind Stone	TAT	TAT-092	TAT-092	Special Magic Stone/True Magic Stone							SS	[Activate] [Rest] Produce {g}. [Activate] {g}[Rest] Target J/resonator cannot be targeted by normal spells you opponents control until end of turn. [Continuous] When you control two or more true magic stones with the same name, banish all but one of them.
Grusbalesta, the Sealing Stone	TAT	TAT-093	TAT-093	Special Magic Stone/True Magic Stone							SS	[Activate] [Rest] Produce {b}. [Activate] {b}[Rest] Target J/resonator gains [+0/-200] until end of turn. [Continuous] When you control two or more true magic stones with same name, banish all but one of them.
Magic Stone of Blasting Waves (TAT)	TAT	TAT-094	TAT-094	Special Magic Stone							SS	[Continuous] Treat this card as wind magic stone and fire magic stone. [Activate] [Rest] Produce {g} or {r}.
