Name	Set	ImageFile	SetID	Type	Subtype/Race	Cost	T.Cost	ATK	DEF	Attribute	Rarity	Script	Cardtext
Siegfried, the Knight Commander	1	1-001-r,1-001-j	1-001	Ruler				0 | 1500	0 | 800	Light	R		[J-Activate] Pay {4} and discard 3 cards from your hand.|[Continuous] Free cost for [Race: Dragon] resonator you play costs {1} less to play. / [Continuous] Your [Race: Dragon] resonators gain [+200 / +0].|[Enter] You may put any number of [Race: Dragon] resonator cards from your hand into your field.|[Activate] Pay {2}: This card gains [+0 / +300] until end of turn.
Arthur, the King of Knights	1	1-002-r,1-002-j	1-002	Ruler				0 | 800	0 | 800	Light	R		[J-Activate] Pay {w}{w}{w}{2}|[Continuous] Your [Race: Knight of the Round Table] resonators gain: [Activate] [Rest]: Produce {w}.".|[Activate] [Rest]: Activate only at the beginning of your opponent's battle phase. Recover target [Race: Knight of the Round Table] resonator. It gains [+0 / +500] until end of turn. / [Continuous] Your [Race: Knight of the Round Table] resonators gain [+100 / +100].|[Enter] You may put any number of [Addition: Resonator] cards from your hand and / or your graveyard on this card.|[Continuous] Each [Addition: Resonator] on this card affects this card as though this card is a resonator.|[Activate] [Rest]: Produce {w} for each [Race: Knight of the Round Table] resonator in your field."
Commander of the Flash Knights	1	1-003-r,1-003-j	1-003	Ruler				0 | 1000	0 | 1000	Light	R		[J-Activate] Pay {0}. You can activate this if you have four or more resonators in your field.|[Activate] [Rest]: Target resonator gains [Target Attack] until end of turn. / [Pierce]|[Target Attack]|[Enter] This card can attack on the turn you did judgement. Resonators in your field gain [+200 / +200] until end of turn. At the end of turn, recover all resonators in your field.
Wandering Knight	1	1-004	1-004	Resonator	Knight	{w}	1	200	200	Light	U		[Break] Reveal the top card of your magic stone deck. Then you may shuffle it.|[Activate] [Rest]: Produce {w}.
Lofty Knight	1	1-005	1-005	Resonator	Knight of the Round Table	{w}	1	200	200	Light	C		[Break] Put this card into your field.
Knight Errant	1	1-006	1-006	Resonator	Knight	{w}{1}	2	200	200	Light	U		[Activate] [Rest]: Activate only at the beginning of your opponent's battle phase. Rest target resonator.
Order of Gartar	1	1-007	1-007	Resonator	Knight of the Round Table	{w}{1}	2	400	400	Light	C		[Break] Put  this card into your field.
Suicidal Knights	1	1-008	1-008	Resonator	Knight	{w}{w}	2	400	400	Light	U		[Target Attack]
Tristan, the Lusting Knight	1	1-009	1-009	Resonator	Knight of the Round Table	{w}{w}{1}	3	600	600	Light	R		[Activate] Pay {w}{w}, banish this card: Destroy target rested resonator.
Mordred, the Dueling Knight	1	1-010	1-010	Resonator	Knight of the Round Table	{w}{w}{1}	3	400	400	Light	U		[Continuous] Resonator battle with this card gains [-300 / -300] until end of turn.
Garahad, the Oracle Knight	1	1-011	1-011	Resonator	Knight of the Round Table	{w}{w}{1}	3	600	500	Light	R		[Continuous] When this card deals damage to your opponent, you gain life equal to that damage.
Shield Bearer of the Kingdom	1	1-012	1-012	Resonator	Knight of the Round Table	{w}{2}	3	200	800	Light	C		[Break] Put this card into your field.
